COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,MAT_DAYS,MAT_WEEKS,MAT_MONTHS,MAT_CLASS_ID,MAT_CLASS_DAYS,MAT_CLASS_WEEKS,MAT_PAID_STATUS,MAT_BEN_STATUS,MAT_BEN_WHO,PAT_DAYS,PAT_WEEKS,PAT_PAID_STATUS,PREG_DISMISS_PROT,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Afghanistan,AFG,AFG,AFG,South Asia,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No,No,N/A,0,0.0,No,No,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Albania,ALB,ALB,ALB,Europe & Central Asia,Upper middle income,2026,365,52.1,12.0,5,365+ days,52+ weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,50.0,63.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Algeria,DZA,DZA,DZA,Middle East & North Africa,Upper middle income,2026,150,21.4,4.9,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,No,55.25,25.0,55.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Angola,AGO,AGO,AGO,Sub-Saharan Africa,Lower middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,1,0.1,Partial / conditional,Yes,74.75,50.0,52.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Antigua and Barbuda,ATG,ATG,ATG,Latin America & Caribbean,High income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,0,0.0,No,No,37.5,25.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Argentina,ARG,ARG,ARG,Latin America & Caribbean,Upper middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,2,0.3,Partial / conditional,Yes,76.5,25.0,69.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Armenia,ARM,ARM,ARM,Europe & Central Asia,Upper middle income,2026,800,114.3,26.3,5,365+ days,52+ weeks,Yes,Yes,Government,7,1.0,Partial / conditional,Yes,87.5,50.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Australia,AUS,AUS,AUS,High income: OECD,High income,2026,147,21.0,4.8,3,98–183 days,14–26 weeks,Yes,Yes,N/A,21,3.0,Yes,Yes,100.0,25.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Austria,AUT,AUT,AUT,High income: OECD,High income,2026,477,68.1,15.7,5,365+ days,52+ weeks,Yes,Yes,Government,30,4.3,Yes,Yes,100.0,75.0,87.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Azerbaijan,AZE,AZE,AZE,Europe & Central Asia,Upper middle income,2026,1165,166.4,38.3,5,365+ days,52+ weeks,Yes,Yes,Government,0,0.0,No,Yes,75.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Bahamas, The",BHS,BHS,BHS,Latin America & Caribbean,High income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,Yes,59.0,0.0,51.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bahrain,BHR,BHR,BHR,Middle East & North Africa,High income,2026,60,8.6,2.0,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,1,0.1,Partial / conditional,Yes,42.0,0.0,35.31,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bangladesh,BGD,BGD,BGD,South Asia,Lower middle income,2026,112,16.0,3.7,3,98–183 days,14–26 weeks,Yes,No,Employer,0,0.0,No,No,25.0,0.0,18.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Barbados,BRB,BRB,BRB,Latin America & Caribbean,High income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,0,0.0,No,Yes,71.5,25.0,71.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belarus,BLR,BLR,BLR,Europe & Central Asia,Upper middle income,2026,1221,174.4,40.1,5,365+ days,52+ weeks,Yes,Yes,Government,0,0.0,No,Yes,75.0,50.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belgium,BEL,BEL,BEL,High income: OECD,High income,2026,225,32.1,7.4,4,184–364 days,26–51 weeks,Yes,Yes,Government,148,21.1,Yes,Yes,100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Belize,BLZ,BLZ,BLZ,Latin America & Caribbean,Upper middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,0,0.0,No,Yes,62.5,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Benin,BEN,BEN,BEN,Sub-Saharan Africa,Lower middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,3,0.4,Partial / conditional,Yes,67.75,25.0,33.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bhutan,BTN,BTN,BTN,South Asia,Lower middle income,2026,60,8.6,2.0,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,14,2.0,Yes,Yes,65.25,0.0,59.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bolivia,BOL,BOL,BOL,Latin America & Caribbean,Lower middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,3,0.4,Partial / conditional,Yes,78.25,25.0,57.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bosnia and Herzegovina,BIH,BIH,BIH,Europe & Central Asia,Upper middle income,2026,365,52.1,12.0,5,365+ days,52+ weeks,Yes,Yes,Government,9,1.3,Partial / conditional,Yes,91.0,50.0,76.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Botswana,BWA,BWA,BWA,Sub-Saharan Africa,Upper middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,0,0.0,No,No,21.5,0.0,21.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Brazil,BRA,BRA,BRA,Latin America & Caribbean,Upper middle income,2026,120,17.1,3.9,3,98–183 days,14–26 weeks,Yes,Yes,Government,5,0.7,Partial / conditional,Yes,84.0,75.0,70.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Brunei Darussalam,BRN,BRN,BRN,East Asia & Pacific,High income,2026,91,13.0,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,No,35.75,25.0,20.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Bulgaria,BGR,BGR,BGR,Europe & Central Asia,High income,2026,775,110.7,25.5,5,365+ days,52+ weeks,Yes,Yes,Government,15,2.1,Yes,Yes,100.0,50.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Burkina Faso,BFA,BFA,BFA,Sub-Saharan Africa,Low income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,50.0,60.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Burundi,BDI,BDI,BDI,Sub-Saharan Africa,Low income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,4,0.6,Partial / conditional,Yes,66.25,0.0,46.56,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cabo Verde,CPV,CPV,CPV,Sub-Saharan Africa,Upper middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,14,2.0,Yes,Yes,85.5,75.0,79.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cambodia,KHM,KHM,KHM,East Asia & Pacific,Lower middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,Yes,60.5,75.0,30.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cameroon,CMR,CMR,CMR,Sub-Saharan Africa,Lower middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,25.0,55.06,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Canada,CAN,CAN,CAN,High income: OECD,High income,2026,350,50.0,11.5,4,184–364 days,26–51 weeks,Yes,Yes,Government,35,5.0,Yes,Yes,100.0,100.0,75.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Central African Republic,CAF,CAF,CAF,Sub-Saharan Africa,Low income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,2,0.3,Partial / conditional,No,41.0,25.0,29.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Chad,TCD,TCD,TCD,Sub-Saharan Africa,Low income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,1,0.1,Partial / conditional,Yes,64.25,25.0,46.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Chile,CHL,CHL,CHL,High income: OECD,High income,2026,210,30.0,6.9,4,184–364 days,26–51 weeks,Yes,Yes,Government,7,1.0,Partial / conditional,Yes,87.5,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
China,CHN,CHN,CHN,East Asia & Pacific,Upper middle income,2026,165,23.6,5.4,3,98–183 days,14–26 weeks,Yes,Yes,Government,21,3.0,Yes,Yes,100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Colombia,COL,COL,COL,Latin America & Caribbean,Upper middle income,2026,126,18.0,4.1,3,98–183 days,14–26 weeks,Yes,Yes,Government,14,2.0,Yes,Yes,100.0,75.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Comoros,COM,COM,COM,Sub-Saharan Africa,Lower middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,No,Employer,0,0.0,No,Yes,50.0,0.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Congo, Dem. Rep.",ZAR,COD,COD,Sub-Saharan Africa,Low income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,25.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Congo, Rep.",COG,COG,COG,Sub-Saharan Africa,Lower middle income,2026,105,15.0,3.4,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,0,0.0,No,No,37.5,25.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Costa Rica,CRI,CRI,CRI,Latin America & Caribbean,High income,2026,120,17.1,3.9,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,8,1.1,Partial / conditional,Yes,76.75,25.0,64.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Croatia,HRV,HRV,HRV,Europe & Central Asia,High income,2026,328,46.9,10.8,4,184–364 days,26–51 weeks,Yes,Yes,Government,148,21.1,Yes,Yes,100.0,75.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Cyprus,CYP,CYP,CYP,Europe & Central Asia,High income,2026,210,30.0,6.9,4,184–364 days,26–51 weeks,Yes,Yes,Government,70,10.0,Yes,Yes,100.0,25.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Czechia,CZE,CZE,CZE,High income: OECD,High income,2026,896,128.0,29.4,5,365+ days,52+ weeks,Yes,Yes,Government,14,2.0,Yes,Yes,100.0,75.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Côte d'Ivoire,CIV,CIV,CIV,Sub-Saharan Africa,Lower middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,2,0.3,Partial / conditional,Yes,78.5,25.0,72.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Denmark,DNK,DNK,DNK,High income: OECD,High income,2026,168,24.0,5.5,3,98–183 days,14–26 weeks,Yes,Yes,Government,168,24.0,Yes,Yes,100.0,25.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Djibouti,DJI,DJI,DJI,Middle East & North Africa,Lower middle income,2026,182,26.0,6.0,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,3,0.4,Partial / conditional,Yes,67.75,25.0,64.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Dominica,DMA,DMA,DMA,Latin America & Caribbean,Upper middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,No,34.0,25.0,25.94,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Dominican Republic,DOM,DOM,DOM,Latin America & Caribbean,Upper middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,2,0.3,Partial / conditional,Yes,66.0,25.0,52.19,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ecuador,ECU,ECU,ECU,Latin America & Caribbean,Upper middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,15,2.1,Yes,Yes,84.0,25.0,84.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Egypt, Arab Rep.",EGY,EGY,EGY,Middle East & North Africa,Lower middle income,2026,120,17.1,3.9,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,1,0.1,Partial / conditional,Yes,64.25,25.0,,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
El Salvador,SLV,SLV,SLV,Latin America & Caribbean,Upper middle income,2026,112,16.0,3.7,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,75.0,74.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Equatorial Guinea,GNQ,GNQ,GNQ,Sub-Saharan Africa,Upper middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,9,1.3,Partial / conditional,Yes,87.5,0.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Eritrea,ERI,ERI,ERI,Sub-Saharan Africa,Low income,2026,60,8.6,2.0,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,0,0.0,No,Yes,40.25,0.0,25.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Estonia,EST,EST,EST,High income: OECD,High income,2026,575,82.1,18.9,5,365+ days,52+ weeks,Yes,Yes,Government,30,4.3,Yes,Yes,100.0,25.0,100.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Eswatini,SWZ,SWZ,SWZ,Sub-Saharan Africa,Lower middle income,2026,14,2.0,0.5,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,0,0.0,No,Yes,28.5,0.0,11.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ethiopia,ETH,ETH,ETH,Sub-Saharan Africa,N/A,2026,120,17.1,3.9,3,98–183 days,14–26 weeks,Yes,No,Employer,3,0.4,Partial / conditional,Yes,55.25,0.0,48.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Fiji,FJI,FJI,FJI,East Asia & Pacific,Upper middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,No,Employer,0,0.0,No,Yes,50.0,0.0,20.83,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Finland,FIN,FIN,FIN,High income: OECD,High income,2026,368,52.6,12.1,5,365+ days,52+ weeks,Yes,Partial / conditional,Employer and government,136,19.4,Yes,Yes,87.5,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
France,FRA,FRA,FRA,High income: OECD,High income,2026,292,41.7,9.6,4,184–364 days,26–51 weeks,Yes,Yes,Government,205,29.3,Yes,Yes,100.0,100.0,90.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Gabon,GAB,GAB,GAB,Sub-Saharan Africa,Upper middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,3,0.4,Partial / conditional,Yes,80.25,25.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Gambia, The",GMB,GMB,GMB,Sub-Saharan Africa,Low income,2026,180,25.7,5.9,3,98–183 days,14–26 weeks,Yes,No,Employer,14,2.0,Yes,Yes,75.0,0.0,31.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Georgia,GEO,GEO,GEO,Europe & Central Asia,Upper middle income,2026,183,26.1,6.0,3,98–183 days,14–26 weeks,Yes,Yes,Government,0,0.0,No,Yes,75.0,50.0,50.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Germany,DEU,DEU,DEU,High income: OECD,High income,2026,458,65.4,15.0,5,365+ days,52+ weeks,Yes,Yes,Government,60,8.6,Yes,Yes,100.0,100.0,96.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ghana,GHA,GHA,GHA,Sub-Saharan Africa,Lower middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,0,0.0,No,Yes,46.5,25.0,34.88,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Greece,GRC,GRC,GRC,High income: OECD,High income,2026,179,25.6,5.9,3,98–183 days,14–26 weeks,Yes,Yes,Government,78,11.1,Yes,Yes,100.0,75.0,78.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Grenada,GRD,GRD,GRD,Latin America & Caribbean,Upper middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,Yes,60.5,25.0,60.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guatemala,GTM,GTM,GTM,Latin America & Caribbean,Upper middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,2,0.3,Partial / conditional,Yes,75.0,50.0,49.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guinea,GIN,GIN,GIN,Sub-Saharan Africa,Lower middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,0,0.0,No,No,37.5,0.0,28.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guinea-Bissau,GNB,GNB,GNB,Sub-Saharan Africa,Low income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,15,2.1,Yes,No,48.0,0.0,14.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Guyana,GUY,GUY,GUY,Latin America & Caribbean,High income,2026,91,13.0,3.0,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,0,0.0,No,Yes,73.25,0.0,67.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Haiti,HTI,HTI,HTI,Latin America & Caribbean,Lower middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,0,0.0,No,Yes,71.5,25.0,47.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Honduras,HND,HND,HND,Latin America & Caribbean,Lower middle income,2026,84,12.0,2.8,2,1–97 days,1–13 weeks,Partial / conditional,Partial / conditional,Employer and government,0,0.0,No,Yes,59.0,25.0,44.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Hong Kong SAR, China",HKG,HKG,HKG,East Asia & Pacific,High income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Partial / conditional,Employer and government,7,1.0,Partial / conditional,Yes,75.0,25.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Hungary,HUN,HUN,HUN,High income: OECD,High income,2026,453,64.7,14.9,5,365+ days,52+ weeks,Yes,Yes,Government,74,10.6,Yes,Yes,100.0,50.0,81.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Iceland,ISL,ISL,ISL,High income: OECD,High income,2026,180,25.7,5.9,3,98–183 days,14–26 weeks,Yes,Yes,Government,180,25.7,Yes,Yes,100.0,75.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
India,IND,IND,IND,South Asia,Lower middle income,2026,182,26.0,6.0,3,98–183 days,14–26 weeks,Yes,Yes,Government,0,0.0,No,No,50.0,50.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Indonesia,IDN,IDN,IDN,East Asia & Pacific,Upper middle income,2026,90,12.9,3.0,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,2,0.3,Partial / conditional,Yes,51.5,50.0,38.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Iran, Islamic Rep.",IRN,IRN,IRN,Middle East & North Africa,Upper middle income,2026,270,38.6,8.9,4,184–364 days,26–51 weeks,Yes,Yes,Government,14,2.0,Yes,No,75.0,25.0,53.13,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Iraq,IRQ,IRQ,IRQ,Middle East & North Africa,Upper middle income,2026,98,14.0,3.2,3,98–183 days,14–26 weeks,Yes,Yes,Government,0,0.0,No,No,50.0,0.0,25.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Ireland,IRL,IRL,IRL,High income: OECD,High income,2026,245,35.0,8.0,4,184–364 days,26–51 weeks,Yes,Yes,Government,77,11.0,Yes,Yes,100.0,100.0,84.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Israel,ISR,ISR,ISR,High income: OECD,High income,2026,105,15.0,3.4,3,98–183 days,14–26 weeks,Yes,Yes,Government,0,0.0,No,Yes,75.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Italy,ITA,ITA,ITA,High income: OECD,High income,2026,330,47.1,10.8,4,184–364 days,26–51 weeks,Yes,Yes,Government,104,14.9,Yes,Yes,100.0,75.0,62.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Jamaica,JAM,JAM,JAM,Latin America & Caribbean,Upper middle income,2026,56,8.0,1.8,2,1–97 days,1–13 weeks,Partial / conditional,No,Employer,0,0.0,No,Yes,39.25,25.0,39.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Japan,JPN,JPN,JPN,High income: OECD,High income,2026,407,58.1,13.4,5,365+ days,52+ weeks,Yes,Yes,Government,393,56.1,Yes,Yes,100.0,75.0,81.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Jordan,JOR,JOR,JOR,Middle East & North Africa,Lower middle income,2026,70,10.0,2.3,2,1–97 days,1–13 weeks,Partial / conditional,Yes,Government,3,0.4,Partial / conditional,Yes,73.0,25.0,73.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
