COUNTRY,ECON_CODE,ISO_A3,NE_ADM0_A3,REGION,INCOME_GRP,REPORT_YEAR,PAT_DAYS,PAT_WEEKS,PAT_MONTHS,PAT_CLASS_ID,PAT_CLASS_DAYS,PAT_CLASS_WEEKS,PAT_CLASS_DESC,PAT_PAID_STATUS,FATHER_INCENTIVES_STATUS,FATHER_INCENTIVES_SOURCE,PARENTHOOD_LF,PARENTHOOD_SF,PARENTHOOD_EP,SOURCE_NOTE
Afghanistan,AFG,AFG,AFG,South Asia,Low income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,0.0,0.0,0.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Albania,ALB,ALB,ALB,Europe & Central Asia,Upper middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,80.25,50.0,63.81,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Algeria,DZA,DZA,DZA,Middle East & North Africa,Upper middle income,2026,3,0.4,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,55.25,25.0,55.25,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Angola,AGO,AGO,AGO,Sub-Saharan Africa,Lower middle income,2026,1,0.1,0.0,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,74.75,50.0,52.0,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Antigua and Barbuda,ATG,ATG,ATG,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,37.5,25.0,37.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Argentina,ARG,ARG,ARG,Latin America & Caribbean,Upper middle income,2026,2,0.3,0.1,2,1–7 days,<1 week,Less than one week,Partial / conditional,No,Insufficient evidence located,76.5,25.0,69.38,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Armenia,ARM,ARM,ARM,Europe & Central Asia,Upper middle income,2026,7,1.0,0.2,3,8–14 days,1 week,About one week,Partial / conditional,No,Insufficient evidence located,87.5,50.0,65.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Australia,AUS,AUS,AUS,High income: OECD,High income,2026,21,3.0,0.7,4,15–28 days,2–3 weeks,Two to three weeks,Yes,No,Insufficient evidence located,100.0,25.0,93.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Austria,AUT,AUT,AUT,High income: OECD,High income,2026,30,4.3,1.0,5,29+ days,4+ weeks,Four weeks or more,Yes,Yes,"Family Time Bonus Act, Art. 1",100.0,75.0,87.5,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
Azerbaijan,AZE,AZE,AZE,Europe & Central Asia,Upper middle income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,75.0,25.0,68.75,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
"Bahamas, The",BHS,BHS,BHS,Latin America & Caribbean,High income,2026,0,0.0,0.0,1,0 days,0 weeks,No paid paternity leave,No,No,Insufficient evidence located,59.0,0.0,51.63,"World Bank Women, Business and the Law 2026 workbook, tab '6. Parenthood'"
